"","SRR1275356","SRR1274090","SRR1275251","SRR1275287","SRR1275364","SRR1275269","SRR1275263","SRR1275242","SRR1275338","SRR1274117","SRR1274089","SRR1275248","SRR1275345","SRR1274125","SRR1275270","SRR1275300","SRR1275294","SRR1274122","SRR1275299","SRR1275277","SRR1275370","SRR1275293","SRR1274128","SRR1275348","SRR1275245","SRR1274084","SRR1275335","SRR1275342","SRR1275363","SRR1275280","SRR1275264","SRR1275369","SRR1274131","SRR1275351","SRR1275256","SRR1275252","SRR1275355","SRR1275258","SRR1275260","SRR1275367","SRR1275284","SRR1275346","SRR1274114","SRR1275241","SRR1275279","SRR1275297","SRR1275273","SRR1274126","SRR1275290","SRR1275274","SRR1274121","SRR1275341","SRR1275336","SRR1274119","SRR1274087","SRR1274113","SRR1275246","SRR1274132","SRR1275267","SRR1275289","SRR1275283","SRR1275360","SRR1275255","SRR1275358","SRR1275352","SRR1274130","SRR1275265","SRR1275368","SRR1275281","SRR1275362","SRR1275257","SRR1275350","SRR1274129","SRR1275292","SRR1275371","SRR1275298","SRR1275276","SRR1274123","SRR1275343","SRR1275334","SRR1274085","SRR1274111","SRR1275349","SRR1275244","SRR1275249","SRR1275344","SRR1274088","SRR1274116","SRR1275243","SRR1275339","SRR1275301","SRR1275295","SRR1275271","SRR1274124","SRR1275250","SRR1275357","SRR1275262","SRR1275365","SRR1275286","SRR1275268","SRR1275361","SRR1275282","SRR1275266","SRR1275288","SRR1274133","SRR1275353","SRR1275254","SRR1275359","SRR1274120","SRR1275275","SRR1275291","SRR1275247","SRR1274086","SRR1274112","SRR1274118","SRR1275337","SRR1275340","SRR1274115","SRR1275347","SRR1274127","SRR1275272","SRR1275278","SRR1275302","SRR1275296","SRR1275354","SRR1275259","SRR1275253","SRR1275285","SRR1275366","SRR1275261"
"ZMYND11",0,3,0,0,0,486,1,0,0,2,355,16,0,227,19,5,0,0,114,36,0,1,0,261,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,7,1467,25,19,388,1,119,1,25,3,4,0,0,3,2,1134,0,0,921,781,176,0,0,0,239,0,0,0,818,0,1,0,1,0,0,0,0,225,0,270,65,0,15,0,0,0,0,0,0,0,0,981,1002,6,0,0,8,0,2,36,0,26,0,0,1,3,0,0,1,0,0,269,2,0,0,0,0,2,48,21,24,0,0,12,0,0,0,108,0,91
"ZMYND8",0,8,0,659,0,0,0,27,0,198,453,0,5,20,0,0,1,0,13,3,0,36,0,0,0,0,0,134,0,45,0,0,290,3,15,0,175,0,0,0,13,0,2,415,1970,1815,570,0,0,24,0,313,30,789,1,57,0,2,0,41,519,0,502,322,64,4,9,0,91,2,0,88,201,0,0,42,0,0,6,37,714,316,0,78,359,254,0,0,1722,0,223,24,592,0,21,0,0,0,0,0,0,3,3,16,94,3,59,16,16,1,138,29,12,11,3,5,7262,1,0,2,14,0,12,0,5498,0,818,0,10,0
"ZNF10",0,0,0,0,0,0,0,0,0,0,0,1,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,28,5,0,0,0,0,1,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,120,0,1444,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,1,0,88,0,0,0,0,0,0,0
"ZNF101",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,111,0,0,0,2,0,0,1,0,0,0,621,0,0,16,0,0,0,0,0,0,0,0,0,0,127,0,13,0,0,0,0,0,1,0,0,21,0,9,0,0,0,0,1,0,1,0,2,0,0,0,0,0,7,0,0,0,3,12,0,0,0,0,0
"ZNF106",2,0,0,196,0,0,1820,4,0,322,0,0,39,150,0,0,0,3,1,38,0,1,0,11,3692,37,0,1,2,23,109,0,108,3,0,0,1,63,5,67,0,0,0,107,857,91,5,0,5,0,160,0,0,331,255,2,178,2,0,237,23,0,2,0,7,0,0,0,354,40,1447,68,0,30,0,2,0,709,0,0,3,0,0,0,0,837,4,8,0,0,0,40,0,7,0,0,0,0,1,0,0,4,0,6,1534,0,42,0,8,0,1077,0,0,0,7,0,1,175,0,38,0,0,0,1,14,25,1150,4,1844,0
"ZNF107",0,2,2,1099,0,0,0,0,0,9,106,0,30,50,0,0,0,0,0,4,0,0,0,91,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,1,0,0,0,0,435,0,1,7,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,1,39,0,0,0,0,4,0,0,1215,0,0,0,0,0,89,0,2,0,0,0,0,1,0,0,0,0,28,0,3,0,0,0,19,0,7,0,0,0,27,0,2,0,1,0,0,0,2,0,0,0,29,0,0
"ZNF112",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,0,0,0,0,0,0,0,0,44,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,490,0,0,0,0,0,31,0,0,0,68,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,30,0,7,0,0
"ZNF117",42,13,0,1,315,0,0,0,0,27,766,37,0,1,0,48,0,0,1759,0,0,0,29,1286,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,1,0,0,0,0,3,0,43,0,8,0,0,130,8,7,0,0,0,1642,594,0,0,0,669,0,0,3,669,0,0,0,4,5,0,0,0,1449,0,0,320,0,47,0,1547,2,0,3,0,0,1,0,0,32,70,1,0,9,0,0,0,10,0,0,4,16,0,0,2,0,217,901,4,0,2,0,0,299,0,3065,0,0,0,0,0,0,0,0,0,0
"ZNF12",0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,0,0,0,206,0,0,0,0,0,67,0,1,0,0,0,0,0,1,16,8,1,0,0,1,0,0,0,0,0,77,0,100,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,29,0,0,0,0,620,0,0,490,896,0,0,0,0,0,0,0,0,0,19,0,441,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,9,0,0,16,0,3570,0,0,0,0
"ZNF121",0,3,0,0,0,152,13,0,0,233,30,0,0,0,3,0,0,0,0,1,0,0,0,0,2,0,0,0,6,0,0,0,0,0,19,0,0,0,0,0,1,0,0,0,0,0,0,0,14,0,0,0,0,314,237,0,0,0,0,419,99,2,367,1,0,0,38,0,2,248,5,0,0,0,0,0,0,30,0,0,3,301,0,0,0,0,1,0,0,0,3319,0,328,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,9,0,0,0,0,4,5,0,0,4,0,46,10,0,215,0,0,0,0,0,0,0
"ZNF124",0,19,6,7,0,4,1,0,0,4,1065,23,0,1,0,1,53,0,35,18,0,2110,3,2,0,0,0,2,0,0,0,0,5,4,1,0,0,56,0,0,3,0,0,0,26,2,6,1,1,0,1,5,9,139,6,5,0,0,910,3,61,4791,0,2,0,1,0,2,3,0,1184,218,4,0,0,0,0,3991,0,0,2,13,0,44,3,0,0,1,1227,0,61,6,5,58,0,0,0,0,0,41,116,0,0,0,18,0,0,0,4,6,3,637,0,0,1,0,124,5,0,129,0,0,2,0,7,0,0,7,0,0
"ZNF131",0,1,2,3,1,364,1449,0,0,13,116,1,3,68,24,3,40,0,105,1,0,1797,0,1,0,1,1,0,0,36,77,1,401,0,1,0,0,0,41,200,0,0,0,1,1718,24,143,0,0,3,1,0,392,486,13,0,0,2,2997,1,60,0,3,921,6,0,0,57,477,0,5,0,0,4,0,3,1,280,0,58,0,0,0,2,0,61,0,2,24,0,829,1,0,8,0,0,0,0,2,136,0,8,0,0,89,0,0,10,9,42,110,3,0,0,0,21,0,71,0,12,0,0,44,0,0,766,0,64,6681,1
"ZNF133",0,0,0,0,0,825,0,0,0,0,0,0,0,48,39,0,0,5,0,367,0,0,0,21,1,0,0,0,0,0,0,0,0,0,546,0,0,0,0,0,0,0,4,0,1,340,0,2,79,0,371,0,0,124,0,52,0,0,0,1984,19,0,10855,0,0,0,0,0,0,0,0,0,0,0,0,13,0,2,0,0,32,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,0,0,0,8,0,0,0,2,3,0,0,3
"ZNF134",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,10,0,2,317,0,33,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,129,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,51,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0
"ZNF135",0,0,0,363,0,0,0,0,0,879,1,0,1,0,0,0,0,0,0,378,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,572,0,0,0,0,1,0,0,0,0,0,0,0,2168,0,38,0,0,24,0,1,0,0,0,0,1,0,0,8,0,12,48,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3,128,0,0,0,7,0,0,0,0,0,1281,338,0,0,0,17,0,0,0,0,0,0,5,0,0,0,1,0,148,0,1
"ZNF136",0,4,0,0,0,0,0,0,0,0,465,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,473,0,0,0,1,857,0,0,0,0,0,0,0,1256,334,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,2726,0,0,162,0,0,0,0,4010,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,7,0,23,0,0,0,1,43,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1003,0,0
"ZNF138",0,0,1,149,0,2309,1,0,0,510,0,0,0,40,94,0,0,0,0,348,0,0,30,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,788,0,0,0,0,4,0,0,113,1,0,0,0,747,0,91,0,0,0,0,0,1,0,13,137,0,0,1,0,0,17,0,3,0,0,0,183,0,5,1,0,1,0,109,0,873,0,5,0,0,0,0,0,0,29,0,0,0,7,187,0,0,0,1,0,0,1,0,1,4,0,0,3,0,2643,0,6,40,0,0,0,0,1,387,0
"ZNF14",0,0,0,0,0,0,0,0,0,0,0,0,24,63,0,0,0,6,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,36,3,0,0,260,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,791,0,0,0,0,0,390,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,1,21,0,1,0,0,0,0,0,0,0,114,0,0,0,9,0,0,0,0,0,0
"ZNF140",0,0,0,0,0,0,0,0,0,682,0,2,0,7,0,3,31,0,83,0,0,1437,6,0,0,0,0,0,0,0,0,22,0,0,0,0,72,0,0,0,0,0,0,0,46,0,0,0,16,0,0,0,0,151,2,0,0,0,0,544,1,1,0,0,249,0,0,0,0,0,0,0,0,0,0,0,4,34,0,0,1,1,0,0,0,0,0,0,0,0,234,0,381,1,0,0,0,0,0,0,0,0,0,0,2,5,0,0,3,163,0,27,0,0,13,0,2,4,0,235,9,0,8,0,1999,0,0,0,0,0
"ZNF141",0,5,0,415,0,0,0,0,0,0,431,1,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,292,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,100,0,0,0,0,0,0,0,0,0,2475,293,0,0,0,0,0,4,0,0,0,0,12,9,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,8,0,0,57,0,0,0,70,0,0
"ZNF142",0,0,0,2486,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,237,0,0,1,0,2,0,0,5,0,0,0,0,0,0,0,3,0,0,0,137,0,0,0,0,0,0,0,0,630,0,0,7,1,1,17,133,0,0,0,0,0,50,0,9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,106,0,0,193,0,288,0,0,0,0,0,0,0,1,0,0,0,5,67,0,0,0,0,18,13,7,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,86,2,0
"ZNF143",0,6,0,0,0,797,1,0,0,20,574,0,0,121,29,7,0,0,153,0,0,0,22,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,414,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,70,2,0,0,0,17,0,19,0,0,2,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,588,0,1447,0,0,0,0,16,0,0,0,0,0
"ZNF146",0,1,0,2999,0,228,0,0,0,341,50,1,0,357,8,36,0,3,1317,341,0,13,0,0,0,10,0,0,0,0,0,0,20,3,0,0,0,0,0,0,0,0,0,0,1,0,15,9,3,0,114,0,2,27,0,0,0,0,3,9,0,0,1,12,0,2,0,0,24,1,0,163,260,3,0,0,3,1,0,0,434,0,0,0,0,0,0,0,0,0,0,883,0,0,0,0,0,0,0,0,0,0,0,69,303,0,4,1,1,207,105,86,8,1,5,0,1,5,0,8,0,3,0,17,0,2,56,0,0,0
"ZNF148",8247,0,0,2061,1,102,0,0,0,0,0,5,3,424,3,14,0,5,839,26,2,0,40,0,6178,1,1,282,0,19,0,0,1,56,382,0,0,0,30,4,12,1075,1,0,491,0,5,5,1,0,157,11,1,0,0,18,276,0,1,75,389,0,8465,0,0,0,0,0,641,6,0,2142,1,0,0,0,4,1,8,19,0,129,0,0,0,167,0,0,2,0,36,1,2,0,0,288,0,0,5,0,0,15,0,56,82,0,3,0,0,216,3,147,0,2,0,0,487,0,18,1911,0,2,3,0,0,478,140,179,178,2
"ZNF154",0,10,0,11,0,0,0,0,0,4,354,0,0,0,0,10,4,16,338,0,0,168,0,35,95,0,20,0,0,6,0,0,0,0,0,0,0,0,0,1,0,981,1,2,120,116,61,0,0,2,539,0,0,6,1,37,8,1,0,0,47,0,3,0,0,0,0,0,0,0,0,2,3,0,0,2,0,5,0,742,155,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,27,0,0,0,0,0,0,3,3,1,1,5
"ZNF160",0,1,0,550,0,4759,2,0,0,341,41,133,0,19,179,0,111,1,0,9,206,5356,0,0,148,16,9,0,0,19,0,0,0,0,186,0,0,0,13,0,4,1092,0,0,1100,132,1,0,0,0,155,69,1,11,605,7,3,0,0,0,158,0,3402,2383,28,1,0,0,1,0,0,0,85,28,3,3,0,5,0,124,10,0,0,77,0,2,13,14,1610,0,0,0,32,0,0,0,40,0,15,0,0,0,0,8,630,3,0,63,0,0,1104,2945,0,0,2,0,1920,732,34,1,1,0,0,0,1,139,0,646,0,1008
"ZNF175",0,0,0,0,0,1,3376,0,0,0,0,0,0,0,0,0,73,0,0,0,0,4579,0,0,0,0,0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,606,0,0,0,0,0,0,0,1,0,0,0,0
"ZNF18",0,0,0,0,0,358,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,120,279,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZNF180",0,0,0,0,0,0,0,0,0,0,0,6,0,943,0,5,0,0,235,0,0,0,0,0,0,0,0,0,69,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,2,166,182,21,0,5,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,12,0,0,2712,0,0,0,0,0,3,0,1,0,0,1,0,0,0,97,0,0,1,0,0,0,0,2,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,216,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,4,0
"ZNF181",0,0,0,0,0,0,0,0,0,22,0,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,8046,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,1,204,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,95,13,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,8,0,0
"ZNF184",0,0,0,0,0,1613,0,0,0,316,0,0,0,0,51,2,12,0,28,19,0,777,0,0,0,0,25,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,16,0,0,7314,235,0,0,0,0,0,1,0,0,0,0,0,0,0,5,841,0,0,0,0,1,0,0,31,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,197,0,1,0,20,0,0,9,0,0,2014,0,0,0,1,0,0,0,0,0,273,0,0
"ZNF189",59,1,0,0,0,176,0,0,0,1,54,0,0,0,3,2,0,1,49,50,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1647,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,1,0,2,0,1,78,0,0,0,0,0,0,0
"ZNF19",0,0,0,1110,0,283,0,0,0,0,0,0,0,0,21,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZNF195",1,0,1,23,0,28,4,0,0,702,15,99,0,755,1,55,16,0,2147,317,0,904,0,0,0,0,126,0,0,3,0,0,61,0,1,0,82,0,115,0,12,0,46,1,211,0,14,12,46,0,2,0,0,4,0,2558,0,1,946,1331,371,3,2,229,2,74,8,23,458,0,3,0,4810,2,0,0,5,2,0,3005,0,0,0,0,0,0,0,4,0,0,1622,140,2114,0,0,0,2,0,1,40,0,12,0,1,2,0,0,4,0,279,96,2898,0,0,10,0,0,173,0,1,53,8,71,0,2999,1289,13,68,0,29
"ZNF2",0,0,1,3,2,2,0,0,0,2,0,1,0,1,1,0,0,0,0,13,0,0,3,2,550,0,1,1,0,0,0,0,0,0,3,0,0,42,0,1,23,0,0,0,7,0,0,0,0,0,1,0,0,0,0,2,31,0,3,14,856,0,52,1,47,0,2,0,22,3,1138,1,1,15,0,0,0,11,1,2,3,1,0,1,5,7,0,0,40,0,2,220,2,1,1,0,146,0,2,0,0,1,0,0,11,1,1,0,0,16,515,5,0,0,0,0,0,1,0,193,0,2,0,5,0,3,47,44,0,3025
"ZNF200",0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,745,0,1,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,10,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0
"ZNF202",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,1,0,49,0,0,0,0,0,54,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,576,0,0,0,5,0
"ZNF204P",0,0,0,0,0,0,0,0,0,0,23,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,146,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,467,0,0,0,0,0,0,0,0,0,0,0,0
"ZNF207",0,4,1,2593,7,2723,7590,0,0,373,361,2,46,455,126,0,0,10,0,18,3,0,0,350,0,2,7,479,0,2,361,0,423,165,0,0,0,0,53,162,17,6910,0,0,40,1523,3897,4,0,115,553,154,3,743,2489,10,0,6,2,0,1062,2009,0,8123,3206,0,0,0,0,5,3,5543,0,14,0,32,0,1495,18,81,254,393,25,0,0,1412,52,19,0,0,201,2130,155,16,0,0,166,1,4,0,52,0,0,75,346,92,0,204,13,4,464,78,6,5,5,0,4180,1029,188,1,2,0,5,52,0,875,0,219,4676,4050
"ZNF211",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,8,159,0,0,0,0,0,0,61,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,2391,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,1,111,0,0,33,0,0,0,70,0,0,0,2,0,0
"ZNF213",0,0,0,0,0,249,0,0,0,0,0,0,0,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,2,39,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZNF213-AS1",0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,29,0,6,0,0,0,0,0,18,80,0,0,0,46,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,132,0,0,1,0,0,13,0,0,0,0,0,0,0,1,2614,0,0,0,7,0,0,6,0,0,0,0,1942,0,0,0,0,1,0,0,0,0,689,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,237,217,0,0,18,0,0,2,0,0,4,6,1,0,25,0,0,0,21,0,0
"ZNF217",0,0,0,0,0,0,0,0,0,192,0,14,8,1,0,0,0,1,0,0,0,0,2,0,5,0,0,1,0,0,0,0,1,0,0,0,0,0,7,0,0,0,2,0,1,0,2,0,0,0,34,0,0,253,1,47,0,0,0,0,6,125,0,2,729,49,0,0,1,0,0,0,3043,0,0,0,1,121,0,0,1168,1,0,12,0,273,0,9,191,0,1,0,0,7,0,0,0,0,0,0,3,0,0,0,0,15,0,0,7,24,1,317,25,0,1,0,0,469,0,134,0,0,0,0,0,129,0,128,1,0
"ZNF22",125,3,1238,1,27,1868,3867,25,0,247,412,51,45,206,80,0,11,6,0,194,0,360,13,2119,29,13,0,0,0,1,155,21,83,112,129,53,0,0,0,6,32,0,1,554,39,729,1,1,0,0,159,0,2,5,384,32,1,1,2,0,1308,1,3640,2067,1467,6,26,617,44,0,0,3789,568,0,0,23,4,455,0,90,1200,869,101,0,0,1804,9,8,31,0,4,95,0,6,0,9,167,4,0,0,0,0,2,0,581,41,0,39,0,164,22,1483,23,21,2,0,0,535,0,651,0,7,0,1,1,0,2,52,162,3134
"ZNF222",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,42,0,0,0,0,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,1,0,0,0,18,0,0,0,0,0,0,0,0
"ZNF223",0,0,10,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,15,0,0,0,0,0,0,0,0,0,0,0,206,1467,0,0,0,0,4,0,7679,0,0,0,0,0,1187,0,0,0,2,0,0,0,0,0,7,0,0,0,0,0,0,48,0,143,0,0,0,1,0,0,0,0,0,9,0,0,0,2,0,4,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,406,0,501,0,92,0,0,0,0,0,1,4,0,0,0
"ZNF225",0,0,0,0,8022,470,0,0,0,0,0,0,0,304,16,0,0,0,0,0,0,0,0,0,0,0,0,394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZNF226",0,0,0,99,0,0,0,0,0,1,0,10,0,1,0,0,10,0,0,90,0,423,0,0,0,0,0,0,1,11,0,19,0,0,0,0,0,0,0,0,25,0,0,0,406,2,334,0,10,6,0,0,0,672,0,0,0,0,0,312,891,0,0,0,1010,0,42,0,7,0,0,0,0,0,0,0,19,0,0,0,1665,638,0,0,0,0,0,0,0,0,0,1446,19,0,0,0,0,0,0,0,0,0,5,2,0,24,0,0,10,1118,0,209,33,11,0,0,0,0,0,1,0,2,0,35,0,0,0,0,0,0
